460,"[Atrax Dorsum]","Mars",33.86,38.19,271,"Planetocentric  +East  0 - 360","Dorsum, dorsa",
15243,"Atrax Fossa","Mars",34.42,38.19,271.02,"Planetocentric  +East  0 - 360","Fossa, fossae",
15265,"Auce","Mars",37.01,-27.17,80.14,"Planetocentric  +East  0 - 360","Crater, craters",
15367,"Auki","Mars",40,-15.76,96.87,"Planetocentric  +East  0 - 360","Crater, craters",
471,"Auqakuh Vallis","Mars",347,30.25,60.41,"Planetocentric  +East  0 - 360","Vallis, valles",
473,"Aureum Chaos","Mars",351.03,-3.89,333.04,"Planetocentric  +East  0 - 360","Chaos, chaoses",
475,"Aurorae Chaos","Mars",713.92,-8.47,325.19,"Planetocentric  +East  0 - 360","Chaos, chaoses",
476,"Aurorae Planum","Mars",564.49,-10.41,311.38,"Planetocentric  +East  0 - 360","Planum, plana",
477,"Aurorae Sinus","Mars",0,-14.83,310,"Planetocentric  +East  0 - 360","Albedo Feature",
479,"Ausonia","Mars",0,-39.67,110,"Planetocentric  +East  0 - 360","Albedo Feature",
480,"Ausonia Cavus","Mars",49.5,-31.92,96.55,"Planetocentric  +East  0 - 360","Cavus, cavi",
481,"Ausonia Mensa","Mars",102.51,-30.02,97.72,"Planetocentric  +East  0 - 360","Mensa, mensae",
482,"Ausonia Montes","Mars",333.13,-25.42,99.04,"Planetocentric  +East  0 - 360","Mons, montes",
484,"Australe Lingula","Mars",436.33,-84.05,68.56,"Planetocentric  +East  0 - 360","Lingula, lingulae",
485,"Australe Mensa","Mars",172,-86.88,357.24,"Planetocentric  +East  0 - 360","Mensa, mensae",
486,"Australe Montes","Mars",411.67,-80.19,14.05,"Planetocentric  +East  0 - 360","Mons, montes",
487,"Australe Scopuli","Mars",504.58,-83.48,247.06,"Planetocentric  +East  0 - 360","Scopulus, scopuli",
488,"Australe Sulci","Mars",357.91,-84.99,133.06,"Planetocentric  +East  0 - 360","Sulcus, sulci",
490,"[Australis Patera]","Mars",12.7,-80.09,308.3,"Planetocentric  +East  0 - 360","Patera, paterae",
6787,"[Australis Tholus]","Mars",40,-58.7,37,"Planetocentric  +East  0 - 360","Tholus, tholi",
496,"Auxo Dorsum","Mars",82.05,-55.72,318.24,"Planetocentric  +East  0 - 360","Dorsum, dorsa",
15529,"Avan","Mars",3.3,-10.97,290.23,"Planetocentric  +East  0 - 360","Crater, craters",
14740,"Avarua","Mars",49.99,-35.93,109.66,"Planetocentric  +East  0 - 360","Crater, craters",
501,"Aveiro","Mars",9.11,21.28,281.03,"Planetocentric  +East  0 - 360","Crater, craters",
503,"Avernus Cavi","Mars",115,-3.72,172.52,"Planetocentric  +East  0 - 360","Cavus, cavi",
504,"Avernus Colles","Mars",238.7,-1.73,171.02,"Planetocentric  +East  0 - 360","Collis, colles",
505,"Avernus Dorsa","Mars",296.59,-6.03,170.9,"Planetocentric  +East  0 - 360","Dorsum, dorsa",
506,"Avernus Rupes","Mars",223.32,-9.2,172.8,"Planetocentric  +East  0 - 360","Rupes, rupēs",
14402,"Avire","Mars",6.85,-40.82,200.24,"Planetocentric  +East  0 - 360","Crater, craters",
515,"Axius Valles","Mars",435.95,-54.53,70.72,"Planetocentric  +East  0 - 360","Vallis, valles",
517,"Ayacucho","Mars",2.59,38.18,267.97,"Planetocentric  +East  0 - 360","Crater, craters",
521,"Ayr","Mars",12.74,-38.98,91.58,"Planetocentric  +East  0 - 360","Crater, craters",
525,"Azul","Mars",19.53,-42.07,317.49,"Planetocentric  +East  0 - 360","Crater, craters",
526,"Azusa","Mars",39.25,-5.48,319.68,"Planetocentric  +East  0 - 360","Crater, craters",
532,"Babakin","Mars",76.66,-36,288.56,"Planetocentric  +East  0 - 360","Crater, craters",
539,"Bacht","Mars",7.86,18.66,102.7,"Planetocentric  +East  0 - 360","Crater, craters",
544,"Bacolor","Mars",21.58,32.99,118.6,"Planetocentric  +East  0 - 360","Crater, craters",
546,"Bada","Mars",2.52,20.35,309.31,"Planetocentric  +East  0 - 360","Crater, craters",
15314,"Badwater","Mars",33.14,-32.79,62.14,"Planetocentric  +East  0 - 360","Crater, craters",
14149,"Baetis Chaos","Mars",66.66,-0.17,299.6,"Planetocentric  +East  0 - 360","Chaos, chaoses",
551,"Baetis Chasma","Mars",92.21,-4.29,295.13,"Planetocentric  +East  0 - 360","Chasma, chasmata",
15537,"Baetis Labēs","Mars",88,-3.67,288.54,"Planetocentric  +East  0 - 360","Labes, labēs",
552,"Baetis Mensa","Mars",181.1,-5.17,287.55,"Planetocentric  +East  0 - 360","Mensa, mensae",
557,"Bahn","Mars",11.93,-3.5,316.68,"Planetocentric  +East  0 - 360","Crater, craters",
558,"Bahram Vallis","Mars",269.68,20.42,302.86,"Planetocentric  +East  0 - 360","Vallis, valles",
563,"Bak","Mars",3.13,18.05,103.78,"Planetocentric  +East  0 - 360","Crater, craters",
566,"Bakhuysen","Mars",152.9,-22.97,15.73,"Planetocentric  +East  0 - 360","Crater, craters",
571,"Balboa","Mars",21.95,-3.82,326.12,"Planetocentric  +East  0 - 360","Crater, craters",
575,"Baldet","Mars",181.31,22.76,65.48,"Planetocentric  +East  0 - 360","Crater, craters",
582,"Balta","Mars",17.28,-23.82,333.45,"Planetocentric  +East  0 - 360","Crater, craters",
583,"Baltia","Mars",0,59.71,310,"Planetocentric  +East  0 - 360","Albedo Feature",
585,"Baltisk","Mars",50.75,-42.27,305.34,"Planetocentric  +East  0 - 360","Crater, craters",
586,"Balvicar","Mars",20.35,16.2,306.76,"Planetocentric  +East  0 - 360","Crater, craters",
15569,"Bam","Mars",6.8,-25.79,115.67,"Planetocentric  +East  0 - 360","Crater, craters",
588,"Bamba","Mars",22.57,-3.36,318.41,"Planetocentric  +East  0 - 360","Crater, craters",
589,"Bamberg","Mars",55.7,39.71,356.9,"Planetocentric  +East  0 - 360","Crater, craters",
595,"Banff","Mars",5,17.51,329.29,"Planetocentric  +East  0 - 360","Crater, craters",
596,"Banh","Mars",14.4,19.42,304.5,"Planetocentric  +East  0 - 360","Crater, craters",
599,"Baphyras Catena","Mars",95.52,38.83,275.84,"Planetocentric  +East  0 - 360","Catena, catenae",
600,"Bar","Mars",2.06,-25.25,340.5,"Planetocentric  +East  0 - 360","Crater, craters",
601,"Barabashov","Mars",120.67,47.33,291.25,"Planetocentric  +East  0 - 360","Crater, craters",
609,"Barnard","Mars",121.11,-61.06,61.59,"Planetocentric  +East  0 - 360","Crater, craters",
612,"Baro","Mars",16.93,-24.8,110.7,"Planetocentric  +East  0 - 360","Crater, craters",
620,"Barsukov","Mars",68.45,7.97,330.98,"Planetocentric  +East  0 - 360","Crater, craters",
15147,"Bashkaus Valles","Mars",246.93,-25.68,356.74,"Planetocentric  +East  0 - 360","Vallis, valles",
629,"Basin","Mars",15.53,17.82,107,"Planetocentric  +East  0 - 360","Crater, craters",
6789,"[Bathys Planum]","Mars",626,-42.66,254,"Planetocentric  +East  0 - 360","Planum, plana",
637,"Batoka","Mars",14.96,-7.55,323.35,"Planetocentric  +East  0 - 360","Crater, craters",
638,"Batoş","Mars",17.33,21.5,330.5,"Planetocentric  +East  0 - 360","Crater, craters",
14926,"Baucau","Mars",17.94,-28.37,304.9,"Planetocentric  +East  0 - 360","Crater, craters",
15506,"Baum","Mars",62,-24.72,28.3,"Planetocentric  +East  0 - 360","Crater, craters",
647,"Baykonyr","Mars",3.9,46.41,132.68,"Planetocentric  +East  0 - 360","Crater, craters",
648,"Bazas","Mars",16.43,-27.78,93.38,"Planetocentric  +East  0 - 360","Crater, craters",
655,"Becquerel","Mars",165.23,21.89,352.06,"Planetocentric  +East  0 - 360","Crater, craters",
659,"Beer","Mars",85.5,-14.47,351.83,"Planetocentric  +East  0 - 360","Crater, craters",
7023,"Beloha","Mars",31.74,-39.58,56.71,"Planetocentric  +East  0 - 360","Crater, craters",
680,"Beltra","Mars",7.17,18.01,102.4,"Planetocentric  +East  0 - 360","Crater, craters",
15158,"Belyov","Mars",0.2,-45.02,201.99,"Planetocentric  +East  0 - 360","Crater, craters",
683,"Belz","Mars",10.21,21.57,316.77,"Planetocentric  +East  0 - 360","Crater, craters",
