name,id,number_of_papers_1970,number_of_citing_papers_1970,number_of_self_citations_1970,total_number_of_citations_1970,total+number_of_refereed_citations_1970,number_of_papers_1971_1980,number_of_citing_papers_1971_1980,number_of_self_citations_1971_1980,total_number_of_citations_1971_1980,total_number_of_refereed_citations_1971_1980,number_of_papers_1981_1990,number_of_citing papers_1981_1990,number_of_self_citations_1981_1990,total_number_of_citations_1981_1990,total_number_of_refereed_citations_1981_1990,number_of_papers_1991_2000,number_of_citing_papers_1991_2000,number_of_self_citations_1991_2000,total_number_of_citations_1991_2000,total_number_of_refereed_citations_1991_2000,number_of_papers_2001_2010,number_of_citing_papers_2001_2010,number_of_self_citations_2001_2010,total_number_of_citations_2001_2010,total_number_of_refereed_citations_2001_2010,number_of_papers_2011_2015,number_of_citing_papers_2011_2015,number_of_self_citations_2011_2015,total_number_of_citations_2011_2015,total_number_of_refereed_citations_2011_2015,number_of_papers_2016_2017,number_of_citing_papers_2016_2017,number_of_self_citations_2016_2017,total_number_of_citations_2016_2017,total_number_of_refereed_citations_2016_2017,number_of_papers,number_of_citing papers,number_of_self_citations,total_number_of_citations,total_number_of_refereed_citations
Noctis Fossae,4323,0,0,0,0,0,2,58,1,70,63,4,35,0,35,32,1,0,0,0,0,0,0,0,0,0,1,8,0,8,8,1,0,0,0,0,9,98,5,113,103
Ganges Catena,2094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1
Memnonia,3826,0,0,0,0,0,7,141,0,142,126,19,138,0,140,117,13,76,0,76,59,7,319,5,353,304,1,4,0,4,4,0,0,0,0,0,47,628,10,715,610
Daedalia Planum,1380,0,0,0,0,0,0,0,0,0,0,3,18,0,18,18,5,339,0,342,298,1,0,0,0,0,1,0,0,0,0,3,2,0,2,2,13,354,2,362,318
Protva Valles,4853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medusae Sulci,3796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyblaeus Fossae,2601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cerberus Tholi,14168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tartarus Montes,5875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Orcus Patera,4484,0,0,0,0,0,1,0,0,0,0,4,9,0,10,10,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,9,0,10,10
Asopus Vallis,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Medusae Fossae,3795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,215,4,243,186,27,409,6,470,391,9,49,1,54,49,1,3,0,3,2,48,624,25,775,633
Hyblaeus Chasma,2599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tinia Valles,6017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iazu,14193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Amazonis Mensa,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,130,0,130,119,1,1,0,1,1,0,0,0,0,0,3,131,0,131,120
